time_bins,mean_CPU_usage_rate,canonical_memory_usage,assigned_memory_usage,unmapped_page_cache_memory_usage,total_page_cache_memory_usage,mean_disk_I/O_time,mean_local_disk_space_used,cycles_per_instruction,memory_accesses_per_instruction,sampled_CPU_usage,maximum_memory_usage,maximum_CPU_usage,maximum_disk_IO_time
1970-01-07 00:45:00,3358.3391203409174,2744.648745452192,3468.406119945858,308.2467867119114,822.4523840173624,404.1368882678641,11.660282666303827,522144.74249999895,1760.0640417389852,2351.709870403085,0.7686,4.594,0.9229
1970-01-07 00:50:00,2972.7470805724483,2764.3575805210767,3487.920062189727,307.01593930441953,827.2019527131645,452.9294585293464,11.644615750703851,535472.803199994,1801.0238171659948,1993.5208896107738,0.7686,1.924,0.8457
1970-01-07 00:55:00,2450.5592677046875,2799.3009951211216,3518.7006519498636,311.3500332046082,869.3032819596913,372.34178054566803,11.618457525903102,550513.4929000075,1844.0897597619908,1488.8058930165032,0.7686,6.867,0.9092
1970-01-07 01:00:00,2666.725477463437,2795.6112931812154,3510.937937199778,312.0593320965076,876.7875810717946,398.8139546272583,11.579804772803511,520422.6031000002,1766.3529322829697,1681.414195607401,0.7686,1.924,0.8623
1970-01-07 01:05:00,2804.953588514645,2839.3410251211108,3555.2858657996276,312.09122390790714,877.7147532203805,408.0597290455682,11.66845971490458,534500.4464999946,1801.983879375996,1817.7989776969016,0.7686,2.805,0.8135
1970-01-07 01:10:00,2764.2185075270145,2834.610041404136,3548.975431199705,312.54826104320324,875.8327077987797,396.64031990986774,11.7358959968034,533260.3281000018,1795.2524276120107,1775.805544600012,0.7686,2.84,0.7559
1970-01-07 01:15:00,2582.0742159359866,2819.1069863721173,3535.1209625497413,331.48989332941096,875.4499780073861,287.3756759464192,11.630312216104489,526705.6545999976,1789.852908063967,1586.0631934017931,0.7686,3.133,0.666
1970-01-07 01:20:00,2702.3135908710665,2827.5463314692206,3541.2997897998725,340.6529749020128,868.8468301941936,412.5266010654467,11.55547087070601,508083.1245999961,1718.145842949987,1616.5553829146993,0.7686,2.402,0.9941
1970-01-07 01:25:00,2658.4818625090766,2819.0727230481575,3533.571075849847,340.11183112020734,867.0094127303963,409.70846135047645,11.582758422506389,545772.018499996,1827.8448062369744,1562.3329014288986,0.7686,2.246,0.75
1970-01-07 01:30:00,2596.3782234530777,2732.886973188066,3442.0324432997045,342.11467813171,837.5765733257005,322.68877888535934,11.630367902407242,497594.26910000376,1685.2471403639993,1499.909452720897,0.7686,5.406,0.7764
